cycle,fruit_x,fruit_y,fruit_z,fruit_case,success,failure_stage,t_total_s,t_plan_s,t_grasp_search_s,t_pregrasp_plan_s,t_carry_plan_s
1,0.495,-0.054,0.35,front,True,none,17.387,0.167,0.022,0.011,0.134
2,0.495,-0.054,0.38,front,True,none,19.116,0.339,0.022,0.011,0.306
3,0.495,-0.054,0.41,front,True,none,19.123,0.621,0.368,0.011,0.242
4,0.495,-0.054,0.44,front,True,none,19.488,1.403,0.308,0.012,1.083
5,0.495,-0.054,0.47,front,True,none,21.365,1.083,0.178,0.013,0.892
6,0.495,-0.054,0.5,front,True,none,21.973,1.537,0.804,0.012,0.721
7,0.495,-0.054,0.53,front,True,none,18.85,1.4,0.835,0.012,0.553
8,0.495,-0.054,0.56,front,True,none,18.915,1.27,0.214,0.012,1.044
9,0.495,-0.054,0.59,front,True,none,18.637,0.653,0.276,0.013,0.364
10,0.495,-0.054,0.62,front,True,none,20.248,1.165,0.872,0.013,0.28
11,0.63,0.081,0.35,left,False,grasp_contact,11.068,,0.927,0.495,
12,0.63,0.081,0.38,left,True,none,16.245,0.807,0.465,0.014,0.328
13,0.63,0.081,0.41,left,True,none,21.83,0.978,0.118,0.019,0.841
14,0.63,0.081,0.44,left,True,none,20.205,1.451,0.483,0.019,0.949
15,0.63,0.081,0.47,left,True,none,18.434,0.883,0.476,0.016,0.391
16,0.63,0.081,0.5,left,True,none,19.063,1.15,0.119,0.015,1.016
17,0.63,0.081,0.53,left,True,none,18.064,0.661,0.107,0.016,0.538
18,0.63,0.081,0.56,left,True,none,17.056,0.251,0.109,0.016,0.126
19,0.63,0.081,0.59,left,True,none,18.067,0.327,0.108,0.017,0.202
20,0.63,0.081,0.62,left,True,none,18.035,0.294,0.106,0.017,0.171
21,0.63,-0.189,0.35,right,False,drop_lower,22.532,,0.106,0.858,1.745
22,0.63,-0.189,0.38,right,False,grasp_contact,16.383,,0.366,0.516,
23,0.63,-0.189,0.41,right,True,none,36.006,2.602,0.515,0.628,1.459
24,0.63,-0.189,0.44,right,False,drop_lower,22.165,,0.166,0.359,1.848
25,0.63,-0.189,0.47,right,False,drop_lower,21.288,,0.412,0.683,2.15
26,0.63,-0.189,0.5,right,True,none,37.065,2.439,0.406,0.775,1.258
27,0.63,-0.189,0.53,right,True,none,37.53,2.267,0.14,0.546,1.581
28,0.63,-0.189,0.56,right,True,none,37.197,2.08,0.159,0.496,1.425
29,0.63,-0.189,0.59,right,True,none,39.334,3.006,0.153,0.384,2.469
30,0.63,-0.189,0.62,right,False,drop_lower,18.637,,0.147,0.513,1.97
