cycle,fruit_x,fruit_y,fruit_z,fruit_case,success,failure_stage,t_total_s,t_plan_s,t_grasp_search_s,t_pregrasp_plan_s,t_carry_plan_s
1,0.495,-0.054,0.35,front,True,none,18.551,0.774,0.027,0.011,0.736
2,0.495,-0.054,0.38,front,True,none,20.027,1.381,0.863,0.011,0.507
3,0.495,-0.054,0.41,front,True,none,18.438,0.167,0.024,0.012,0.131
4,0.495,-0.054,0.44,front,True,none,18.075,0.176,0.04,0.012,0.124
5,0.495,-0.054,0.47,front,True,none,19.62,0.152,0.025,0.012,0.115
6,0.495,-0.054,0.5,front,True,none,19.811,0.173,0.033,0.013,0.127
7,0.495,-0.054,0.53,front,True,none,16.826,0.156,0.038,0.012,0.106
8,0.495,-0.054,0.56,front,True,none,16.94,0.152,0.037,0.012,0.103
9,0.495,-0.054,0.59,front,True,none,17.769,0.162,0.041,0.012,0.109
10,0.495,-0.054,0.62,front,True,none,20.214,1.258,0.835,0.012,0.411
11,0.63,0.081,0.35,left,False,grasp_contact,7.014,,0.936,1.921,
12,0.63,0.081,0.38,left,True,none,16.723,1.452,0.955,0.014,0.483
13,0.63,0.081,0.41,left,True,none,19.82,0.463,0.119,0.019,0.325
14,0.63,0.081,0.44,left,True,none,19.218,0.799,0.485,0.019,0.295
15,0.63,0.081,0.47,left,True,none,18.407,1.025,0.472,0.016,0.537
16,0.63,0.081,0.5,left,True,none,18.072,0.31,0.13,0.016,0.164
17,0.63,0.081,0.53,left,True,none,18.071,0.845,0.111,0.016,0.718
18,0.63,0.081,0.56,left,True,none,17.07,0.411,0.111,0.016,0.284
19,0.63,0.081,0.59,left,True,none,18.084,0.425,0.11,0.016,0.299
20,0.63,0.081,0.62,left,True,none,19.047,1.142,0.113,0.017,1.012
21,0.63,-0.189,0.35,right,False,grasp_contact,9.076,,0.103,4.998,
22,0.63,-0.189,0.38,right,False,grasp_contact,8.427,,0.07,3.993,
23,0.63,-0.189,0.41,right,False,grasp_contact,7.16,,0.722,2.059,
24,0.63,-0.189,0.44,right,False,grasp_contact,6.618,,0.703,1.784,
25,0.63,-0.189,0.47,right,False,grasp_contact,9.549,,0.946,4.211,
26,0.63,-0.189,0.5,right,False,grasp_contact,7.9,,0.69,2.014,
27,0.63,-0.189,0.53,right,False,grasp_contact,8.568,,0.891,3.651,
28,0.63,-0.189,0.56,right,False,grasp_contact,7.031,,1.059,1.758,
29,0.63,-0.189,0.59,right,False,grasp_contact,7.525,,0.864,2.545,
30,0.63,-0.189,0.62,right,False,grasp_contact,7.621,,0.971,2.253,
